Iterations,Seconds,Score
14370000,521,15.023836
14380000,521,15.024428
14390000,521,15.028942
14400000,522,15.018048
14410000,522,15.023316
14420000,522,15.021549
14430000,523,15.018566
14440000,523,15.012457
14450000,524,15.014984
14460000,524,15.013796
14470000,524,15.013186
14480000,525,15.013926
14490000,525,15.000520
14500000,525,15.022275
14510000,526,15.014752
14520000,526,15.019304
14530000,527,15.007518
14540000,527,15.006500
14550000,527,15.010715
14560000,528,15.004352
14570000,528,15.001488
14580000,528,14.993867
14590000,529,14.998238
14600000,529,15.002000
14610000,530,14.997242
14620000,530,14.997263
14630000,530,15.002530
14640000,531,14.993372
14650000,531,14.993783
14660000,532,14.995372
14670000,532,14.992166
14680000,532,14.991186
14690000,533,14.986706
14700000,533,14.987110
14710000,533,14.988694
14720000,534,14.985938
14730000,534,14.983051
14740000,535,14.984109
14750000,535,14.977576
14760000,535,14.977168
14770000,536,14.972482
14780000,536,14.971204
14790000,537,14.979873
14800000,537,14.972893
14810000,537,14.977916
14820000,538,14.968770
14830000,538,14.971628
14840000,538,14.967204
14850000,539,14.968709
14860000,539,14.960510
14870000,540,14.966039
14880000,540,14.963447
14890000,540,14.957944
14900000,541,14.961408
14910000,541,14.961620
14920000,542,14.955755
14930000,542,14.969095
14940000,542,14.947752
14950000,543,14.953141
14960000,543,14.948474
14970000,543,14.951337
14980000,544,14.947062
14990000,544,14.952023
15000000,544,14.949763
15010000,545,14.948931
15020000,545,14.948919
15030000,546,14.950513
15040000,546,14.935605
15050000,546,14.945240
15060000,547,14.943719
15070000,547,14.943974
15080000,547,14.943464
15090000,548,14.938429
15100000,548,14.931041
15110000,549,14.941262
15120000,549,14.931970
15130000,549,14.938671
15140000,550,14.929289
15150000,550,14.933112
15160000,550,14.929107
15170000,551,14.936418
15180000,551,14.932753
15190000,551,14.929773
15200000,552,14.921479
15210000,552,14.922202
15220000,553,14.927148
15230000,553,14.915465
15240000,553,14.929094
15250000,554,14.913179
15260000,554,14.911153
15270000,555,14.916602
15280000,555,14.918222
15290000,555,14.916801
15300000,556,14.900696
15310000,556,14.911584
15320000,556,14.910531
15330000,557,14.910074
15340000,557,14.909711
15350000,558,14.906663
15360000,558,14.895377
15370000,558,14.897275
15380000,559,14.901253
15390000,559,14.893837
15400000,560,14.892849
15410000,560,14.902998
15420000,560,14.905732
15430000,561,14.893248
15440000,561,14.896890
15450000,561,14.890910
15460000,562,14.899901
15470000,562,14.896965
15480000,563,14.894738
15490000,563,14.891064
15500000,563,14.884268
15510000,564,14.881808
15520000,564,14.893467
15530000,564,14.887265
15540000,565,14.889400
15550000,565,14.883439
15560000,566,14.879822
15570000,566,14.882429
15580000,566,14.876776
15590000,567,14.873464
15600000,567,14.876211
15610000,567,14.866737
15620000,568,14.877572
15630000,568,14.875197
15640000,568,14.872939
15650000,569,14.864701
15660000,569,14.874548
15670000,570,14.860263
15680000,570,14.865533
15690000,570,14.863447
15700000,571,14.862977
15710000,571,14.863520
15720000,571,14.856525
15730000,572,14.864260
15740000,572,14.861174
15750000,573,14.853387
15760000,573,14.847520
15770000,573,14.851944
15780000,574,14.848651
15790000,574,14.853678
15800000,574,14.853148
15810000,575,14.851436
15820000,575,14.846664
15830000,576,14.842566
15840000,576,14.843414
15850000,576,14.849444
15860000,577,14.847030
15870000,577,14.840944
15880000,577,14.837627
15890000,578,14.845933
15900000,578,14.839998
15910000,578,14.843275
15920000,579,14.837123
15930000,579,14.836181
15940000,580,14.837477
15950000,580,14.838906
15960000,580,14.834852
15970000,581,14.825135
